date,portfolio_value,daily_return,regime,peak,dd,year
2020-01-03,992122.3207616754,-0.0068845638021267815,neutral,992122.3207616754,0.0,2020
2020-01-06,997982.4398465671,0.005906649777209677,neutral,997982.4398465671,0.0,2020
2020-01-07,997186.0869735283,-0.0007979628110102987,neutral,997982.4398465671,-0.0007979628110102654,2020
2020-01-08,998399.6685534242,0.0012170061292963573,neutral,998399.6685534242,0.0,2020
2020-01-09,1004097.7963565136,0.0057072613128421115,neutral,1004097.7963565136,0.0,2020
2020-01-10,997397.9921537149,-0.0066724618130921615,neutral,1004097.7963565136,-0.006672461813092089,2020
2020-01-13,1002038.9208359052,0.004653035918158474,neutral,1004097.7963565136,-0.002050473099412486,2020
2020-01-14,1002708.1067255846,0.0006678242489035846,neutral,1004097.7963565136,-0.001384018206166454,2020
2020-01-15,1002302.3631365764,-0.0004046477596887399,neutral,1004097.7963565136,-0.0017881059259886815,2020
2020-01-16,1008548.5655515194,0.006231854423046891,neutral,1008548.5655515194,0.0,2020
2020-01-17,1007957.6225488079,-0.000585934106592445,neutral,1008548.5655515194,-0.0005859341065924395,2020
2020-01-21,1008332.468634155,0.00037188675095206625,neutral,1008548.5655515194,-0.000214265256771473,2020
2020-01-22,1007031.9032802773,-0.0012898179859659796,neutral,1008548.5655515194,-0.0015038068795554178,2020
2020-01-23,1009069.2936600908,0.0020231636884363033,neutral,1009069.2936600908,0.0,2020
2020-01-24,1005239.2506824781,-0.003795619390736148,neutral,1009069.2936600908,-0.0037956193907361774,2020
2020-01-27,992551.7149006798,-0.012621409055788926,neutral,1009069.2936600908,-0.016369122381574536,2020
2020-01-28,999446.5298048087,0.006946554824922911,neutral,1009069.2936600908,-0.009536276562711034,2020
2020-01-29,1000284.4949823873,0.0008384292231644086,neutral,1009069.2936600908,-0.00870584283249697,2020
2020-01-30,1001563.2151566099,0.0012783564882158681,neutral,1009069.2936600908,-0.0074386155149512795,2020
2020-01-31,992780.3291839527,-0.00876917786091408,neutral,1009069.2936600908,-0.01614256283337577,2020
2020-02-03,992226.8000060386,-0.0005575545381414714,neutral,1009069.2936600908,-0.016691117012352187,2020
2020-02-04,1001255.0712738838,0.010109108720291103,neutral,1009069.2936600908,-0.007743989867993366,2020
2020-02-05,1013814.016530892,0.012543202643687591,neutral,1013814.016530892,0.0,2020
2020-02-06,1014125.6427602858,0.00030738007594336645,neutral,1014125.6427602858,0.0,2020
2020-02-07,1014782.2101427213,0.0006474221287301296,neutral,1014782.2101427213,0.0,2020
2020-02-10,1018320.622890513,0.0034868691157820216,neutral,1018320.622890513,0.0,2020
2020-02-11,1020753.1976357161,0.0023888102533935127,neutral,1020753.1976357161,0.0,2020
2020-02-12,1026879.4239709396,0.006001672440912326,neutral,1026879.4239709396,0.0,2020
2020-02-13,1026110.9181958768,-0.0007483894964912507,neutral,1026879.4239709396,-0.0007483894964912468,2020
2020-02-14,1025432.6012651267,-0.0006610561477531674,neutral,1026879.4239709396,-0.0014089509167668486,2020
2020-02-18,1024097.5671926441,-0.0013019227893043483,neutral,1026879.4239709396,-0.0027090393607635513,2020
2020-02-19,1026686.8926016915,0.0025283971879217627,neutral,1026879.4239709396,-0.0001874917003434908,2020
2020-02-20,1026760.5274899829,7.172088084697159e-05,neutral,1026879.4239709396,-0.00011578426656649189,2020
2020-02-21,1025171.4648418057,-0.0015476468033513403,neutral,1026879.4239709396,-0.0016632518767677427,2020
2020-02-24,1004347.003528527,-0.02031314958273063,neutral,1026879.4239709396,-0.02194261557533192,2020
2020-02-25,983257.1840614991,-0.020998538745009405,neutral,1026879.4239709396,-0.042480391457015904,2020
2020-02-26,980329.3907400465,-0.00297764752590852,neutral,1026879.4239709396,-0.04533154735040288,2020
2020-02-27,953962.7310187392,-0.02689571481826458,neutral,1026879.4239709396,-0.07100803779886035,2020
2020-02-28,945644.329848935,-0.008719838730933294,neutral,1026879.4239709396,-0.07910869789158761,2020
2020-03-02,976892.104649866,0.03304389802233862,neutral,1026879.4239709396,-0.048678859615058585,2020
2020-03-03,960559.6537435518,-0.015734521405416483,neutral,1026879.4239709396,-0.06458379501940884,2020
2020-03-04,990340.4105493126,0.03100354745246409,neutral,1026879.4239709396,-0.0355825743204891,2020
2020-03-05,968039.9438534322,-0.02251798114903845,neutral,1026879.4239709396,-0.0572993077317445,2020
2020-03-06,962815.7715132799,-0.005396649563195458,neutral,1026879.4239709396,-0.06238673301089798,2020
2020-03-09,911770.8738532783,-0.053016266631957173,neutral,1026879.4239709396,-0.11209548797125259,2020
2020-03-10,942720.0760842325,0.03394405669064458,neutral,1026879.4239709396,-0.0819564068790697,2020
2020-03-11,905882.0625840131,-0.03907630105135041,neutral,1026879.4239709396,-0.11783015470212663,2020
2020-03-12,851172.2696382615,-0.06039394663549562,neutral,1026879.4239709396,-0.1711078732624898,2020
2020-03-13,914455.0985253556,0.07434785077524732,neutral,1026879.4239709396,-0.10948152511503201,2020
2020-03-16,848155.0690752651,-0.07250222515791702,neutral,1026879.4239709396,-0.1740460960884268,2020
2020-03-17,881166.7018248133,0.03892169480934707,neutral,1026879.4239709396,-0.14189857031379174,2020
2020-03-18,848688.7921822651,-0.03685784945719063,neutral,1026879.4239709396,-0.17352634362816607,2020
2020-03-19,848520.9577360543,-0.0001977573496395313,neutral,1026879.4239709396,-0.1736897848679971,2020
2020-03-20,824369.8426478248,-0.028462602918691973,neutral,1026879.4239709396,-0.19720872440895823,2020
2020-03-23,799497.3708262512,-0.03017149649929539,neutral,1026879.4239709396,-0.22143013857011826,2020
2020-03-24,862022.4938003065,0.07820553919950712,neutral,1026879.4239709396,-0.16054166275250883,2020
2020-03-25,869203.7623948564,0.00833072065543276,neutral,1026879.4239709396,-0.15354836984302583,2020
2020-03-26,909636.6492634051,0.046517155835988123,neutral,1026879.4239709396,-0.11417384745538772,2020
2020-03-27,887832.1112439694,-0.02397060192890467,neutral,1026879.4239709396,-0.13540763353624777,2020
2020-03-30,908677.2489669562,0.023478693166188815,neutral,1026879.4239709396,-0.11510813465021627,2020
2020-03-31,900386.3808189634,-0.009124106669797705,neutral,1026879.4239709396,-0.12318198242090389,2020
2020-04-01,880569.4706653617,-0.02200934018524,neutral,1026879.4239709396,-0.14248016845035,2020
2020-04-02,884345.203447869,0.005796525457189404,bear,1026879.4239709396,-0.1388032686173525,2020
2020-04-03,879574.2222819158,-0.00539493078873743,bear,1026879.4239709396,-0.14344936537864883,2020
2020-04-06,880452.1045041082,0.0009980763418860235,bear,1026879.4239709396,-0.14259446245460583,2020
2020-04-07,874120.6246792111,-0.007191168937534909,bear,1026879.4239709396,-0.14876021052307264,2020
2020-04-08,876650.059479545,0.002893690789257093,bear,1026879.4239709396,-0.14629698578481407,2020
2020-04-09,869887.3917343544,-0.007714215806025796,bear,1026879.4239709396,-0.15288263507072472,2020
2020-04-13,867945.1309552095,-0.002232772652644821,bear,1026879.4239709396,-0.15477405555671928,2020
2020-04-14,884247.3316761046,0.01878252453925712,bear,1026879.4239709396,-0.13889857851399648,2020
2020-04-15,882216.8985142416,-0.0022962276380459265,bear,1026879.4239709396,-0.14087586339717323,2020
2020-04-16,894223.5195897636,0.013609602236981226,bear,1026879.4239709396,-0.12918352562581886,2020
2020-04-17,879333.2474763348,-0.01665162209137589,bear,1026879.4239709396,-0.14368403246804204,2020
2020-04-20,882743.640676263,0.0038783853672269388,bear,1026879.4239709396,-0.14036290914984345,2020
2020-04-21,881527.3326669008,-0.0013778722987235984,bear,1026879.4239709396,-0.14154737928428118,2020
2020-04-22,883560.2025857038,0.0023060770136903493,bear,1026879.4239709396,-0.13956772142830634,2020
2020-04-23,883691.3344037832,0.0001484129974343995,bear,1026879.4239709396,-0.1394400220947543,2020
2020-04-24,889984.1094827455,0.007121010282632291,bear,1026879.4239709396,-0.1333119656432693,2020
2020-04-27,883777.8182241343,-0.006973485472924074,bear,1026879.4239709396,-0.13935580206041315,2020
2020-04-28,874101.5445996161,-0.01094876271500201,bear,1026879.4239709396,-0.14877879116569687,2020
2020-04-29,872748.6153168983,-0.0015477941791504912,bear,1026879.4239709396,-0.15009630639790006,2020
2020-04-30,877949.6484576049,0.005959371403663619,bear,1026879.4239709396,-0.14503141463037955,2020
2020-05-01,879583.0015206414,0.001860417696967008,bear,1026879.4239709396,-0.14344081594380712,2020
2020-05-04,886956.4027345332,0.009392229552630048,bull,1026879.4239709396,-0.136260419646276,2020
2020-05-05,889518.9162199664,0.002889108729056869,bull,1026879.4239709396,-0.13376498208504417,2020
2020-05-06,884885.2022870933,-0.005209235968318954,bull,1026879.4239709396,-0.13827740469738414,2020
2020-05-07,897302.0561424019,0.01403216352043841,bull,1026879.4239709396,-0.12618557233084135,2020
2020-05-08,911857.3882680715,0.016221217845242105,bull,1026879.4239709396,-0.11201123814330437,2020
2020-05-11,907262.5961605291,-0.005038937191998226,bull,1026879.4239709396,-0.11648575774150058,2020
2020-05-12,892758.8054570386,-0.01598632057010789,bull,1026879.4239709396,-0.13060989964650085,2020
2020-05-13,878164.7023692271,-0.01634719590398236,bull,1026879.4239709396,-0.1448219899339624,2020
2020-05-14,892961.8754501962,0.01685011142106641,bull,1026879.4239709396,-0.13041214517950378,2020
2020-05-15,894870.8110766924,0.0021377571416851425,bull,1026879.4239709396,-0.1285531775325386,2020
2020-05-18,924008.4451857945,0.03256071574626969,bull,1026879.4239709396,-0.10017824525818556,2020
2020-05-19,916413.0121472667,-0.008220090496034976,bull,1026879.4239709396,-0.1075748615124643,2020
2020-05-20,933730.1276400964,0.018896627681282724,bull,1026879.4239709396,-0.09071103593704818,2020
2020-05-21,931427.7940245421,-0.0024657377409178826,bull,1026879.4239709396,-0.09295310405313834,2020
2020-05-22,931636.1986384492,0.00022374747161745364,bull,1026879.4239709396,-0.09275015460353188,2020
2020-05-26,948601.6567151414,0.01821038952918157,bull,1026879.4239709396,-0.07622878151857239,2020
2020-05-27,958739.1564987614,0.010686782709957135,bull,1026879.4239709396,-0.06635663923294909,2020
2020-05-28,950747.2013824609,-0.00833590144110368,bull,1026879.4239709396,-0.07413939826944398,2020
2020-05-29,953151.616065651,0.0025289737163506033,bull,1026879.4239709396,-0.07179792114266292,2020
2020-06-01,964710.2992880123,0.012126804411319528,bull,1026879.4239709396,-0.06054179607817971,2020
2020-06-02,970372.375325742,0.007380268691797009,strong_bull,1026879.4239709396,-0.055027929595360923,2020
2020-06-03,995433.1719062558,0.025825958382318128,strong_bull,1026879.4239709396,-0.030623120232637698,2020
2020-06-04,1007354.4738865268,0.01197599428743341,strong_bull,1026879.4239709396,-0.019013868258173777,2020
2020-06-05,1033682.2037198702,0.026135516857106935,strong_bull,1033682.2037198702,0.0,2020
2020-06-08,1052728.5667723506,0.018425743409278966,strong_bull,1052728.5667723506,0.0,2020
